Academic Terms Key,Term Code,Term Description,Term Selector,Term Start Date,Term End Date,Academic Year,Academic Year Desc,Is Current Term,Term Status Indicator,Financial Aid Year,Degree Year,Last Day Of Final Exam,Pre Registration Start Day,Registration Day,First Day Of Classes,Last Day Of Classes,Graduate Award Start Date,Graduate Award End Date,Warehouse Load Date
1987SU,1987SU,Summer Term 1987,1987SU-Summer Term 1987,06/08/1987,08/19/1987,1987,Academic Year 1986-1987,N,P,1988,1988,08/19/1987,"",06/08/1987,"","",06/01/1987,08/31/1987,01/08/2016
1986JA,1986JA,January Term 1985-1986,1986JA-January Term 1985-1986,01/06/1986,01/29/1986,1986,Academic Year 1985-1986,N,P,"","",01/29/1986,"",01/06/1986,"","","","",01/08/2016
1986SP,1986SP,Spring Term 1985-1986,1986SP-Spring Term 1985-1986,02/03/1986,05/21/1986,1986,Academic Year 1985-1986,N,P,1986,1986,05/21/1986,"",02/03/1986,"","",01/16/1986,05/31/1986,01/08/2016
1986SU,1986SU,Summer Term 1986,1986SU-Summer Term 1986,06/09/1986,08/20/1986,1986,Academic Year 1985-1986,N,P,1987,1987,08/20/1986,"",06/09/1986,"","",06/01/1986,08/31/1986,01/08/2016
1985FA,1985FA,Fall Term 1984-1985,1985FA-Fall Term 1984-1985,09/10/1984,12/21/1984,1985,Academic Year 1984-1985,N,P,1985,1985,12/21/1984,"",09/10/1984,"","",09/01/1984,01/15/1985,01/08/2016
1985JA,1985JA,January Term 1984-1985,1985JA-January Term 1984-1985,01/07/1985,01/30/1985,1985,Academic Year 1984-1985,N,P,"","",01/30/1985,"",01/07/1985,"","","","",01/08/2016
1985SP,1985SP,Spring Term 1984-1985,1985SP-Spring Term 1984-1985,02/04/1985,05/22/1985,1985,Academic Year 1984-1985,N,P,1985,1985,05/22/1985,"",02/04/1985,"","",01/16/1985,05/31/1985,01/08/2016
1985SU,1985SU,Summer Term 1985,1985SU-Summer Term 1985,06/10/1985,08/21/1985,1985,Academic Year 1984-1985,N,P,1986,1986,08/21/1985,"",06/10/1985,"","",06/01/1985,08/31/1985,01/08/2016
1984SP,1984SP,Spring Term 1983-1984,1984SP-Spring Term 1983-1984,02/06/1984,05/23/1984,1984,Academic Year 1983-1984,N,P,1984,1984,05/23/1984,"",02/06/1984,"","",01/16/1984,05/31/1984,01/08/2016
1984SU,1984SU,Summer Term 1984,1984SU-Summer Term 1984,06/11/1984,08/22/1984,1984,Academic Year 1983-1984,N,P,1985,1985,08/22/1984,"",06/11/1984,"","",06/01/1984,08/31/1984,01/08/2016
1983FA,1983FA,Fall Term 1982-1983,1983FA-Fall Term 1982-1983,09/08/1982,12/17/1982,1983,Academic Year 1982-1983,N,P,1983,1983,12/17/1982,"",09/08/1982,"","",09/01/1982,01/15/1983,01/08/2016
1983JA,1983JA,January Term 1982-1983,1983JA-January Term 1982-1983,01/03/1983,01/26/1983,1983,Academic Year 1982-1983,N,P,"","",01/26/1983,"",01/03/1983,"","","","",01/08/2016
2005JA,2005JA,January Term 2004-2005,2005JA-January Term 2004-2005,01/03/2005,01/28/2005,2005,Academic Year 2004-2005,N,P,"","",01/28/2005,12/01/2004,01/03/2005,01/03/2005,01/28/2005,"","",01/08/2016
