Subject Offered Summary Key,Composite Subject Key,Term Code,Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Master Subject Id Sort,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Total Units,Lecture Units,Lab Units,Preparation Units,Subject Enrollment Number,Cluster Enrollment Number,Warehouse Load Date,Num Enrolled Students,Subject Grouping Key,Subject Summary Key
21F.0221998SP,21F.0221998SP,1998SP,21F,21F.022,21F.022,Internatl Women's Voices,21F.022,21F.022,J,Joint subject,"21F.022, SP.431",N,Not for graduate credit,21F,Foreign Languages/Literatures,"Hum, Arts & Social Sciences",,,12,3,0,9,25,27,5/8/01 0:00,25,86CD64959D040327E0440003BACE90BC,21F.0221998SP
21F.0511998SP,21F.0511998SP,1998SP,21F,21F.051,21F.051,Topics in French Film,21F.051,21F.051,,,,N,Not for graduate credit,21F,Foreign Languages/Literatures,"Hum, Arts & Social Sciences",,,12,2,2,8,20,,5/8/01 0:00,20,86CD64959D080327E0440003BACE90BC,21F.0511998SP
21F.1021998SP,21F.1021998SP,1998SP,21F,21F.102,21F.102,Chinese II,21F.102,21F.102,,,,N,Not for graduate credit,21F,Foreign Languages/Literatures,"Hum, Arts & Social Sciences","Tai, Yih-Jian",900023570,12,4,0,8,35,,5/8/01 0:00,35,86CD64959D0C0327E0440003BACE90BC,21F.1021998SP
21F.1041998SP,21F.1041998SP,1998SP,21F,21F.104,21F.104,Chinese IV,21F.104,21F.104,,,,N,Not for graduate credit,21F,Foreign Languages/Literatures,"Hum, Arts & Social Sciences","Liu, Yuehua",900023782,12,4,0,8,34,,5/8/01 0:00,34,86CD64959D0D0327E0440003BACE90BC,21F.1041998SP
12.3081998SP,15.0231998SP,1998SP,12,12.308,12.308,Global Climate Change,15.023,15.023,M,Meeting Together,"12.308, 12.848, 15.023",N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,"Jacoby, Henry",900026400,9,2,0,7,0,16,5/8/01 0:00,0,86CD64959B550327E0440003BACE90BC,12.3081998SP
12.0941998SP,12.0941998SP,1998SP,12,12.094,12.094,Special Topics in Geophysics,12.094,12.094,,,,N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,,,1,0,1,0,0,,5/8/01 0:00,0,86CD64959A970327E0440003BACE90BC,12.0941998SP
12.3331998SP,12.3331998SP,1998SP,12,12.333,12.333,Atmospheric &Ocean Circulation,12.333,12.333,,,,N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,"Plumb, Raymond",900006372,12,3,0,9,2,,5/8/01 0:00,2,86CD64959A9B0327E0440003BACE90BC,12.3331998SP
22.541998SP,22.541998SP,1998SP,22,22.54,22.54,Neutron Phys & Appls,22.54,22.54,,,,H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Zhou, Xiao-Lin",900026407,12,3,0,9,6,,5/8/01 0:00,6,86CD649598B30327E0440003BACE90BC,22.541998SP
22.561998SP,22.561998SP,1998SP,22,22.56,22.56,Principles of Medical Imaging,22.56,22.56,J,Joint subject,"2.761, 22.56, HST.561",H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Cory, David",900005164,12,4,0,8,5,7,5/8/01 0:00,5,86CD649598B50327E0440003BACE90BC,22.561998SP
HAA.20061998SP,HAA.00001998SP,1998SP,HAA,HAA.2006,HAA.2006,Rep of Reductive Lie Groups,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.20061998SP
HAA.20091998SP,HAA.00001998SP,1998SP,HAA,HAA.2009,HAA.2009,Native Amer in 21C:Nation Bldg,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.20091998SP
10.5481998SP,HST.5251998SP,1998SP,10,10.548,10.548,Transp Phenom &Tumor Pathophys,HST.525,HST.525,J,Joint subject,"10.548, HST.525",H,Higher level graduate program,10,Chemical Engineering,Engineering,"Jain, Rakesh",900021956,6,2,0,4,0,0,5/8/01 0:00,0,86CD64959DC10327E0440003BACE90BC,10.5481998SP
10.741998SP,2.581998SP,1998SP,10,10.74,10.74,Radiative Transfer,2.58,2.58,J,Joint subject,"2.58, 10.74",H,Higher level graduate program,10,Chemical Engineering,Engineering,"Qiu, Taiqing",900029899,6,2,0,4,0,7,5/8/01 0:00,0,86CD649597AE0327E0440003BACE90BC,10.741998SP
